Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF,C152930
"C10, C11, C14, C7",0402,4,1uF,C389008
C12,CP_EIA-3216-18_Kemet-A,1,10uF,C124856
C13,CP_EIA-3216-18_Kemet-A,1,22uF,C124838
"C15, C6",0402,2,10nF,C527020
"C2, C3, C4, C5, C9",0402,5,100nF,C129131
C8,CP_Elec_6.3x7.7,1,270uF,C178573
J10,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB-C,C2689835
"J11, J2, J5, J6",TE_440054-2_1x02_P2.00mm_Vertical,4,Conn_01x02_Socket,
J14,PinHeader_2x03_P2.54mm_Vertical,1,SWD,C358692
J8,TE_440054-3_1x03_P2.00mm_Vertical,1,Conn_01x03_Socket,
L1,0603,1,22uH,C2041591
R1,0402,1,150R,C227304
"R10, R9",0402,2,5K1,C144745
R2,0402,1,220R,C137899
R3,0402,1,0R,C4288031
R4,0402,1,10R,C144729
R5,0402,1,3K3,C137874
"R6, R8",0402,2,4K7,C2935240
R7,0402,1,1K,C106235
U1,SOT-223-3_TabPin2,1,AZ1117-3.3,C110474
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F303RETx,C183214
